Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Matt Haack punts 33 yards downed by Siran Neal,Matt Haack,33.0,,,,,Siran Neal,,,,,yards
Jake Bailey punts 46 yards out of bounds,Jake Bailey,46.0,,,,,,,,,out of bounds,yards
Matt Haack punts 34 yards fair catch by Gunner Olszewski at NE-25,Matt Haack,34.0,Gunner Olszewski,,,,,,,NE-25,,yards
Jake Bailey punts 45 yards,Jake Bailey,45.0,,,,,,,,,,yards
Matt Haack punts 59 yards touchback.,Matt Haack,59.0,,,,,,,,,touchback,yards .
Jake Bailey punts 39 yards downed by Justin Bethel,Jake Bailey,39.0,,,,,Justin Bethel,,,,,yards
Jake Bailey punts 71 yards touchback.,Jake Bailey,71.0,,,,,,,,,touchback,yards .
Sam Martin punts 56 yards returned by Mike Hughes for 10 yards (tackle by Aaron Patrick and Nate Hairston),Sam Martin,56.0,Mike Hughes,10.0,Aaron Patrick and Nate Hairston,,,,,,,yards  yards (
Riley Dixon punts 36 yards fair catch by Jevon Holland at MIA-11,Riley Dixon,36.0,Jevon Holland,,,,,,,MIA-11,,yards
Jordan Berry punts 46 yards touchback.,Jordan Berry,46.0,,,,,,,,,touchback,yards .
Mitch Wishnowsky punts 60 yards downed by Ambry Thomas,Mitch Wishnowsky,60.0,,,,,Ambry Thomas,,,,,yards
Michael Palardy punts 53 yards fair catch by Pharoh Cooper at NYG-7,Michael Palardy,53.0,Pharoh Cooper,,,,,,,NYG-7,,yards
AJ Cole punts 42 yards fair catch by DeAndre Carter at WAS-10,AJ Cole,42.0,DeAndre Carter,,,,,,,WAS-10,,yards
Pressley Harvin punts 38 yards out of bounds,Pressley Harvin,38.0,,,,,,,,,out of bounds,yards
Logan Cooke punts 68 yards downed by Daniel Thomas,Logan Cooke,68.0,,,,,Daniel Thomas,,,,,yards
Michael Dickson punts 58 yards downed by John Reid. Penalty on John Reid: Illegal Touch Kick 5 yards (accepted) (no play),Michael Dickson,58.0,,,,John Reid,John Reid.  Illegal Touch Kick 5 yards (accepted) (no play),,,,,yards
Sam Koch punts 55 yards returned by Ray-Ray McCloud for 14 yards (tackle by Eric Tomlinson),Sam Koch,55.0,Ray-Ray McCloud,14.0,Eric Tomlinson,,,,,,,yards  yards (
Michael Dickson punts 50 yards fair catch by Brandon Aiyuk at SF-23,Michael Dickson,50.0,Brandon Aiyuk,,,,,,,SF-23,,yards
Sam Martin punts 56 yards returned by Mike Hughes for 3 yards (tackle by Mike Ford and Jonathon Cooper),Sam Martin,56.0,Mike Hughes,3.0,Mike Ford and Jonathon Cooper,,,,,,,yards  yards (
Jack Fox punts 62 yards returned by Dede Westbrook for 16 yards (tackle by Ifeatu Melifonwu),Jack Fox,62.0,Dede Westbrook,16.0,Ifeatu Melifonwu,,,,,,,yards  yards (
Tress Way punts 54 yards returned by Hunter Renfrow for 6 yards (tackle by Deshazor Everett),Tress Way,54.0,Hunter Renfrow,6.0,Deshazor Everett,,,,,,,yards  yards (
Pressley Harvin punts 64 yards out of bounds,Pressley Harvin,64.0,,,,,,,,,out of bounds,yards
Cameron Johnston punts 50 yards returned by Nyheim Hines for 7 yards (tackle by Kamu Grugier-Hill and Kevin Pierre-Louis),Cameron Johnston,50.0,Nyheim Hines,7.0,Kamu Grugier-Hill and Kevin Pierre-Louis,,,,,,,yards  yards (
Johnny Hekker punts 46 yards fair catch by Jaydon Mickens at JAC-27,Johnny Hekker,46.0,Jaydon Mickens,,,,,,,JAC-27,,yards
Michael Palardy punts 50 yards returned by Pharoh Cooper for 15 yards (tackle by Clayton Fejedelem),Michael Palardy,50.0,Pharoh Cooper,15.0,Clayton Fejedelem,,,,,,,yards  yards (
AJ Cole punts 67 yards returned by DeAndre Carter for 16 yards (tackle by Keisean Nixon),AJ Cole,67.0,DeAndre Carter,16.0,Keisean Nixon,,,,,,,yards  yards (
Tress Way punts 47 yards out of bounds,Tress Way,47.0,,,,,,,,,out of bounds,yards
Thomas Morstead punts 43 yards returned by Giovani Bernard for 1 yard (tackle by Olamide Zaccheaus),Thomas Morstead,43.0,Giovani Bernard,1.0,Olamide Zaccheaus,,,,,,,yards  yard (
Rigoberto Sanchez punts 40 yards downed by Ashton Dulin,Rigoberto Sanchez,40.0,,,,,Ashton Dulin,,,,,yards
Kevin Huber punts 50 yards returned by Andre Roberts for 15 yards (tackle by Tre Flowers). Penalty on Stanley Morgan: Unsportsmanlike Conduct / Offense 15 yards (accepted),Kevin Huber,50.0,Andre Roberts,15.0,Tre Flowers,Stanley Morgan,,,,,,yards  yards (.  Unsportsmanlike Conduct / Offense 15 yards (accepted)
Bradley Pinion punts 60 yards returned by Avery Williams for 7 yards. Avery Williams fumbles (forced by Grant Stuard) recovered by Avery Williams at ATL-25 (tackle by Grant Stuard),Bradley Pinion,60.0,Avery Williams,7.0,Grant Stuard,,,,,ATL-25 (,,yards  yards. Avery Williams fumbles (forced by Grant Stuard) recovered by Avery Williams
Cameron Johnston punts 47 yards returned by Nyheim Hines for -1 yards (tackle by Kevin Pierre-Louis),Cameron Johnston,47.0,Nyheim Hines,-1.0,Kevin Pierre-Louis,,,,,,,yards  yards (
Michael Dickson punts 65 yards returned by Travis Benjamin for 22 yards (tackle by Jon Rhattigan),Michael Dickson,65.0,Travis Benjamin,22.0,Jon Rhattigan,,,,,,,yards  yards (
Ty Long punts 39 yards touchback.,Ty Long,39.0,,,,,,,,,touchback,yards .
Rigoberto Sanchez punts 43 yards fair catch by Desmond King at HOU-9,Rigoberto Sanchez,43.0,Desmond King,,,,,,,HOU-9,,yards
AJ Cole punts 38 yards fair catch by DeAndre Carter at WAS-10,AJ Cole,38.0,DeAndre Carter,,,,,,,WAS-10,,yards
Kevin Huber punts 46 yards returned by Andre Roberts for 3 yards (tackle by Stanley Morgan and Michael Thomas),Kevin Huber,46.0,Andre Roberts,3.0,Stanley Morgan and Michael Thomas,,,,,,,yards  yards (
Tommy Townsend punts 54 yards returned by Diontae Spencer for no gain (tackle by Darrel Williams). Penalty on Aaron Patrick: Offensive Holding 2 yards (accepted),Tommy Townsend,54.0,Diontae Spencer,0.0,Darrel Williams,Aaron Patrick,,,,,,yards  (.  Offensive Holding 2 yards (accepted)
Pressley Harvin punts 43 yards returned by Devin Duvernay for 12 yards (tackle by Miles Killebrew and Derek Watt),Pressley Harvin,43.0,Devin Duvernay,12.0,Miles Killebrew and Derek Watt,,,,,,,yards  yards (
Riley Dixon punts 41 yards downed by Cam Brown,Riley Dixon,41.0,,,,,Cam Brown,,,,,yards
Cameron Johnston punts 53 yards returned by Nyheim Hines for 16 yards (tackle by Justin Reid),Cameron Johnston,53.0,Nyheim Hines,16.0,Justin Reid,,,,,,,yards  yards (
Logan Cooke punts 53 yards fair catch by Cooper Kupp at LA-9,Logan Cooke,53.0,Cooper Kupp,,,,,,,LA-9,,yards
Jordan Berry punts 49 yards returned by Kalif Raymond for no gain (tackle by Dan Chisena),Jordan Berry,49.0,Kalif Raymond,0.0,Dan Chisena,,,,,,,yards  (
Pat O'Donnell punts 53 yards returned by Rondale Moore for no gain (tackle by Joel Iyiegbuniwe). Penalty on Robert Alford: Offensive Holding 10 yards (accepted),Pat O'Donnell,53.0,Rondale Moore,0.0,Joel Iyiegbuniwe,Robert Alford,,,,,,yards  (.  Offensive Holding 10 yards (accepted)
Sam Koch punts 45 yards returned by Ray-Ray McCloud for 5 yards (tackle by Nick Moore and Tylan Wallace),Sam Koch,45.0,Ray-Ray McCloud,5.0,Nick Moore and Tylan Wallace,,,,,,,yards  yards (
Tress Way punts 43 yards touchback.,Tress Way,43.0,,,,,,,,,touchback,yards .
Johnny Hekker punts 46 yards fair catch by Jaydon Mickens at JAC-23. Penalty on Ben Skowronek: Fair Catch Interference 15 yards (accepted),Johnny Hekker,46.0,Jaydon Mickens,,,,,,,JAC-23. Penalty on Ben Skowronek: Fair Catch Interference 15 yards (accepted),,yards
Andy Lee punts 41 yards returned by Jakeem Grant for 8 yards (tackle by Antonio Hamilton),Andy Lee,41.0,Jakeem Grant,8.0,Antonio Hamilton,,,,,,,yards  yards (
Braden Mann punts 45 yards recovered by Jalen Reagor at PHI-33 and returned for 20 yards (tackle by Kenny Yeboah),Braden Mann,45.0,,,Kenny Yeboah,,,,,PHI-33 and returned for 20 yards (,,yards recovered by Jalen Reagor
Logan Cooke punts 31 yards fair catch by Cooper Kupp at LA-11,Logan Cooke,31.0,Cooper Kupp,,,,,,,LA-11,,yards
Pat O'Donnell punts 38 yards downed by Deon Bush,Pat O'Donnell,38.0,,,,,Deon Bush,,,,,yards
Tommy Townsend punts 50 yards returned by Diontae Spencer for 6 yards (tackle by Armani Watts),Tommy Townsend,50.0,Diontae Spencer,6.0,Armani Watts,,,,,,,yards  yards (
Cameron Johnston punts 60 yards fair catch by Luke Rhodes at IND-26 fair catch by Nyheim Hines at IND-26,Cameron Johnston,60.0,Luke Rhodes,,,,,,,IND-26 fair catch by Nyheim Hines at IND-26,,yards
Michael Palardy punts 65 yards returned by Pharoh Cooper for 11 yards (tackle by Andrew Van Ginkel),Michael Palardy,65.0,Pharoh Cooper,11.0,Andrew Van Ginkel,,,,,,,yards  yards (
AJ Cole punts 55 yards returned by DeAndre Carter for 13 yards (tackle by Keisean Nixon and Carson Tinker),AJ Cole,55.0,DeAndre Carter,13.0,Keisean Nixon and Carson Tinker,,,,,,,yards  yards (
Thomas Morstead punts 40 yards fair catch by Giovani Bernard at TB-7,Thomas Morstead,40.0,Giovani Bernard,,,,,,,TB-7,,yards
Pressley Harvin punts 47 yards returned by Devin Duvernay for no gain (tackle by Buddy Johnson),Pressley Harvin,47.0,Devin Duvernay,0.0,Buddy Johnson,,,,,,,yards  (
Sam Martin punts 48 yards fair catch by Mike Hughes at KC-24,Sam Martin,48.0,Mike Hughes,,,,,,,KC-24,,yards
Tress Way punts 53 yards. Penalty on Roderic Teamer: Offensive Holding 9 yards (accepted),Tress Way,53.0,,,,Roderic Teamer,,,,,,yards.  Offensive Holding 9 yards (accepted)
Logan Cooke punts 55 yards fair catch by Brandon Powell at LA-15,Logan Cooke,55.0,Brandon Powell,,,,,,,LA-15,,yards
Michael Palardy punts 39 yards fair catch by Pharoh Cooper at NYG-35,Michael Palardy,39.0,Pharoh Cooper,,,,,,,NYG-35,,yards
Jack Fox punts 47 yards returned by Dede Westbrook for 2 yards (tackle by Jason Cabinda),Jack Fox,47.0,Dede Westbrook,2.0,Jason Cabinda,,,,,,,yards  yards (
Cameron Johnston punts 41 yards returned by Nyheim Hines for no gain (tackle by A.J. Moore),Cameron Johnston,41.0,Nyheim Hines,0.0,A.J. Moore,,,,,,,yards  (
Bradley Pinion punts 41 yards fair catch by Avery Williams at ATL-16,Bradley Pinion,41.0,Avery Williams,,,,,,,ATL-16,,yards
Riley Dixon punts 45 yards returned by Jaylen Waddle for 7 yards (tackle by Julian Love),Riley Dixon,45.0,Jaylen Waddle,7.0,Julian Love,,,,,,,yards  yards (
Braden Mann punts 33 yards downed by Daniel Brown,Braden Mann,33.0,,,,,Daniel Brown,,,,,yards
Pressley Harvin punts 25 yards fair catch by Devin Duvernay at BAL-24,Pressley Harvin,25.0,Devin Duvernay,,,,,,,BAL-24,,yards
Rigoberto Sanchez punts 41 yards returned by Desmond King for 4 yards (tackle by Ashton Dulin and Zaire Franklin),Rigoberto Sanchez,41.0,Desmond King,4.0,Ashton Dulin and Zaire Franklin,,,,,,,yards  yards (
Michael Palardy punts 37 yards returned by Pharoh Cooper for -4 yards (tackle by Mack Hollins and Clayton Fejedelem). Penalty on Noah Igbinoghene: Unsportsmanlike Conduct / Offense 15 yards (offset) . Penalty on Elijhaa Penny: Unsportsmanlike Conduct / Defense 15 yards (offset),Michael Palardy,37.0,Pharoh Cooper,-4.0,Mack Hollins and Clayton Fejedelem,Noah Igbinoghene,,,,,,yards  yards (.  Unsportsmanlike Conduct / Offense 15 yards (offset) . Penalty on Elijhaa Penny: Unsportsmanlike Conduct / Defense 15 yards (offset)
Riley Dixon punts 46 yards touchback.,Riley Dixon,46.0,,,,,,,,,touchback,yards .
Michael Dickson punts 36 yards fair catch by Brandon Aiyuk at SF-8,Michael Dickson,36.0,Brandon Aiyuk,,,,,,,SF-8,,yards
Tommy Townsend punts 49 yards recovered by Byron Pringle at DEN-16,Tommy Townsend,49.0,,,,,,,,DEN-16,,yards recovered by Byron Pringle
Thomas Morstead punts 35 yards fair catch by Giovani Bernard at TB-13,Thomas Morstead,35.0,Giovani Bernard,,,,,,,TB-13,,yards
Sam Koch punts 46 yards returned by Ray-Ray McCloud for 6 yards (tackle by Geno Stone),Sam Koch,46.0,Ray-Ray McCloud,6.0,Geno Stone,,,,,,,yards  yards (
Jack Fox punts 57 yards returned by Dede Westbrook for 5 yards (tackle by KhaDarel Hodge and Godwin Igwebuike),Jack Fox,57.0,Dede Westbrook,5.0,KhaDarel Hodge and Godwin Igwebuike,,,,,,,yards  yards (
Michael Palardy punts 46 yards fair catch by Pharoh Cooper at NYG-15,Michael Palardy,46.0,Pharoh Cooper,,,,,,,NYG-15,,yards
Andy Lee punts 58 yards downed by Dennis Gardeck,Andy Lee,58.0,,,,,Dennis Gardeck,,,,,yards
Ty Long punts 49 yards returned by Trenton Irwin for 5 yards (tackle by Chris Rumph and Kemon Hall),Ty Long,49.0,Trenton Irwin,5.0,Chris Rumph and Kemon Hall,,,,,,,yards  yards (
Riley Dixon punts 44 yards downed by Julian Love,Riley Dixon,44.0,,,,,Julian Love,,,,,yards
Pat O'Donnell punts fair catch by Rondale Moore at ARI-42. Penalty on Dennis Gardeck: Roughing the Kicker 15 yards (accepted) (no play),,,Rondale Moore,,,,,,,ARI-42. Penalty on Dennis Gardeck: Roughing the Kicker 15 yards (accepted) (no play),,Pat O'Donnell punts
Kevin Huber punts 46 yards fair catch by Andre Roberts at LAC-15,Kevin Huber,46.0,Andre Roberts,,,,,,,LAC-15,,yards
Mitch Wishnowsky punts 37 yards downed by Ambry Thomas,Mitch Wishnowsky,37.0,,,,,Ambry Thomas,,,,,yards
Cameron Johnston punts 51 yards returned by Nyheim Hines for 15 yards (tackle by Tavierre Thomas and Neville Hewitt),Cameron Johnston,51.0,Nyheim Hines,15.0,Tavierre Thomas and Neville Hewitt,,,,,,,yards  yards (
Ty Long punts 45 yards fair catch by Trenton Irwin at CIN-43,Ty Long,45.0,Trenton Irwin,,,,,,,CIN-43,,yards
Michael Dickson punts 54 yards returned by Brandon Aiyuk for -4 yards (tackle by John Reid and Penny Hart),Michael Dickson,54.0,Brandon Aiyuk,-4.0,John Reid and Penny Hart,,,,,,,yards  yards (
Thomas Morstead punts 53 yards returned by Giovani Bernard for 6 yards (tackle by Keith Smith and Qadree Ollison),Thomas Morstead,53.0,Giovani Bernard,6.0,Keith Smith and Qadree Ollison,,,,,,,yards  yards (
Riley Dixon punts 36 yards downed by Julian Love. Penalty on Keion Crossen: Unsportsmanlike Conduct / Offense 15 yards (accepted),Riley Dixon,36.0,,,,Keion Crossen,Julian Love.  Unsportsmanlike Conduct / Offense 15 yards (accepted),,,,,yards
Mitch Wishnowsky punts 40 yards returned by Freddie Swain for no gain (tackle by Kyle Juszczyk and Dontae Johnson). Penalty on Jon Rhattigan: Illegal Block Above the Waist 10 yards (accepted),Mitch Wishnowsky,40.0,Freddie Swain,0.0,Kyle Juszczyk and Dontae Johnson,Jon Rhattigan,,,,,,yards  (.  Illegal Block Above the Waist 10 yards (accepted)
Bradley Pinion punts 32 yards downed by Ke'Shawn Vaughn,Bradley Pinion,32.0,,,,,Ke'Shawn Vaughn,,,,,yards
Kevin Huber punts 38 yards fair catch by Andre Roberts at LAC-47,Kevin Huber,38.0,Andre Roberts,,,,,,,LAC-47,,yards
Sam Koch punts 57 yards returned by Ray-Ray McCloud for 8 yards (tackle by Kristian Welch),Sam Koch,57.0,Ray-Ray McCloud,8.0,Kristian Welch,,,,,,,yards  yards (
Logan Cooke punts 40 yards fair catch by Cooper Kupp at LA-9,Logan Cooke,40.0,Cooper Kupp,,,,,,,LA-9,,yards
Thomas Morstead punts 44 yards out of bounds,Thomas Morstead,44.0,,,,,,,,,out of bounds,yards
Tommy Townsend punts 37 yards fair catch by Diontae Spencer at DEN-15,Tommy Townsend,37.0,Diontae Spencer,,,,,,,DEN-15,,yards
Johnny Hekker punts 58 yards downed by Robert Rochell,Johnny Hekker,58.0,,,,,Robert Rochell,,,,,yards
Arryn Siposs punts 38 yards fair catch by Braxton Berrios at NYJ-19,Arryn Siposs,38.0,Braxton Berrios,,,,,,,NYJ-19,,yards
Jordan Berry punts 37 yards fair catch by Kalif Raymond at DET-19,Jordan Berry,37.0,Kalif Raymond,,,,,,,DET-19,,yards
Ty Long punts 36 yards fair catch by Trenton Irwin at CIN-21,Ty Long,36.0,Trenton Irwin,,,,,,,CIN-21,,yards
Blake Gillikin punts 47 yards returned by CeeDee Lamb for 7 yards (tackle by Andrew Dowell and Ty Montgomery),Blake Gillikin,47.0,CeeDee Lamb,7.0,Andrew Dowell and Ty Montgomery,,,,,,,yards  yards (
Bryan Anger punts fair catch by Deonte Harris at NO-28. Penalty on C.J. Goodwin: Player Out of Bounds on a Punt 5 yards (accepted) (no play),,,Deonte Harris,,,,,,,NO-28. Penalty on C.J. Goodwin: Player Out of Bounds on a Punt 5 yards (accepted) (no play),,Bryan Anger punts
Bryan Anger punts 60 yards returned by Deonte Harris for 8 yards (tackle by Dorance Armstrong),Bryan Anger,60.0,Deonte Harris,8.0,Dorance Armstrong,,,,,,,yards  yards (
Blake Gillikin punts 59 yards returned by CeeDee Lamb for 16 yards (tackle by J.T. Gray),Blake Gillikin,59.0,CeeDee Lamb,16.0,J.T. Gray,,,,,,,yards  yards (
Blake Gillikin punts 52 yards returned by Trevon Diggs for 9 yards (tackle by Dwayne Washington),Blake Gillikin,52.0,Trevon Diggs,9.0,Dwayne Washington,,,,,,,yards  yards (
Bryan Anger punts 59 yards returned by Deonte Harris for 19 yards (tackle by Corey Clement),Bryan Anger,59.0,Deonte Harris,19.0,Corey Clement,,,,,,,yards  yards (
Bryan Anger punts 59 yards fair catch by Deonte Harris at NO-21,Bryan Anger,59.0,Deonte Harris,,,,,,,NO-21,,yards
Bryan Anger punts 54 yards returned by Deonte Harris for 8 yards (tackle by Francis Bernard and Kelvin Joseph),Bryan Anger,54.0,Deonte Harris,8.0,Francis Bernard and Kelvin Joseph,,,,,,,yards  yards (
Blake Gillikin punts 55 yards out of bounds,Blake Gillikin,55.0,,,,,,,,,out of bounds,yards
Blake Gillikin punts 33 yards downed by Lil'Jordan Humphrey,Blake Gillikin,33.0,,,,,Lil'Jordan Humphrey,,,,,yards
Bryan Anger punts 31 yards out of bounds,Bryan Anger,31.0,,,,,,,,,out of bounds,yards
Blake Gillikin punts 62 yards returned by CeeDee Lamb for 12 yards (tackle by Jeff Heath),Blake Gillikin,62.0,CeeDee Lamb,12.0,Jeff Heath,,,,,,,yards  yards (
Bryan Anger punts 37 yards returned by Deonte Harris for 2 yards. Penalty on Ken Crawley: Offensive Holding 10 yards (accepted),Bryan Anger,37.0,Deonte Harris,2.0,,Ken Crawley,,,,,,yards  yards.  Offensive Holding 10 yards (accepted)
Bryan Anger punts 37 yards fair catch by Deonte Harris at NO-13,Bryan Anger,37.0,Deonte Harris,,,,,,,NO-13,,yards
Corliss Waitman punts 53 yards returned by Donovan Peoples-Jones for 4 yards (tackle by Justin Layne). Penalty on Justin Layne: Face Mask (15 Yards) 15 yards (accepted),Corliss Waitman,53.0,Donovan Peoples-Jones,4.0,Justin Layne,Justin Layne,,,,,,yards  yards (.  Face Mask (15 Yards) 15 yards (accepted)
Dustin Colquitt punts 55 yards touchback.,Dustin Colquitt,55.0,,,,,,,,,touchback,yards .
Corliss Waitman punts 43 yards downed by James Pierre,Corliss Waitman,43.0,,,,,James Pierre,,,,,yards
Dustin Colquitt punts 36 yards downed by A.J. Green,Dustin Colquitt,36.0,,,,,A.J. Green,,,,,yards
Dustin Colquitt punts 53 yards (tackle by M.J. Stewart),Dustin Colquitt,53.0,,,M.J. Stewart,,,,,,,yards (
Corliss Waitman punts 44 yards returned by Donovan Peoples-Jones for 9 yards (tackle by Ulysees Gilbert). Penalty on Justin Layne: Illegal Shift 5 yards (accepted),Corliss Waitman,44.0,Donovan Peoples-Jones,9.0,Ulysees Gilbert,Justin Layne,,,,,,yards  yards (.  Illegal Shift 5 yards (accepted)
Dustin Colquitt punts 37 yards returned by Ray-Ray McCloud for 10 yards (tackle by M.J. Stewart and Malcolm Smith),Dustin Colquitt,37.0,Ray-Ray McCloud,10.0,M.J. Stewart and Malcolm Smith,,,,,,,yards  yards (
Dustin Colquitt punts 42 yards returned by Ray-Ray McCloud for 5 yards (tackle by Porter Gustin),Dustin Colquitt,42.0,Ray-Ray McCloud,5.0,Porter Gustin,,,,,,,yards  yards (
Dustin Colquitt punts 52 yards recovered by Ray-Ray McCloud at PIT-5 (tackle by Ja'Marcus Bradley),Dustin Colquitt,52.0,,,Ja'Marcus Bradley,,,,,PIT-5 (,,yards recovered by Ray-Ray McCloud
Corliss Waitman punts 53 yards returned by Donovan Peoples-Jones for 9 yards (tackle by Derek Watt and Benny Snell),Corliss Waitman,53.0,Donovan Peoples-Jones,9.0,Derek Watt and Benny Snell,,,,,,,yards  yards (
Corliss Waitman punts 51 yards returned by Donovan Peoples-Jones for 7 yards (tackle by Ulysees Gilbert and Derek Watt),Corliss Waitman,51.0,Donovan Peoples-Jones,7.0,Ulysees Gilbert and Derek Watt,,,,,,,yards  yards (
Dustin Colquitt punts 21 yards out of bounds,Dustin Colquitt,21.0,,,,,,,,,out of bounds,yards
Dustin Colquitt punts 46 yards returned by Ray-Ray McCloud for 14 yards (tackle by Willie Harvey),Dustin Colquitt,46.0,Ray-Ray McCloud,14.0,Willie Harvey,,,,,,,yards  yards (
Cameron Johnston punts 53 yards fair catch by Brandon Aiyuk at SF-22,Cameron Johnston,53.0,Brandon Aiyuk,,,,,,,SF-22,,yards
Tommy Townsend punts 42 yards fair catch by Trent Taylor at CIN-23,Tommy Townsend,42.0,Trent Taylor,,,,,,,CIN-23,,yards
JK Scott punts 38 yards fair catch by Gunner Olszewski at NE-30,JK Scott,38.0,Gunner Olszewski,,,,,,,NE-30,,yards
Michael Dickson punts 45 yards fair catch by Amon-Ra St. Brown at DET-30,Michael Dickson,45.0,Amon-Ra St. Brown,,,,,,,DET-30,,yards
Thomas Morstead punts 34 yards returned by Marquez Stevenson for -10 yards. Marquez Stevenson fumbles (forced by Avery Williams) recovered by Jake Kumerow at BUF-0 (tackle by Avery Williams),Thomas Morstead,34.0,Marquez Stevenson,-10.0,Avery Williams,,,,,BUF-0 (,,yards  yards. Marquez Stevenson fumbles (forced by Avery Williams) recovered by Jake Kumerow
Michael Palardy punts 37 yards returned by Chester Rogers for 9 yards (tackle by Duke Riley),Michael Palardy,37.0,Chester Rogers,9.0,Duke Riley,,,,,,,yards  yards (
Mitch Wishnowsky punts 52 yards returned by Desmond King for 15 yards (tackle by Mark Nzeocha and Kyle Juszczyk),Mitch Wishnowsky,52.0,Desmond King,15.0,Mark Nzeocha and Kyle Juszczyk,,,,,,,yards  yards (
Sam Koch punts 36 yards downed by Tylan Wallace,Sam Koch,36.0,,,,,Tylan Wallace,,,,,yards
Bryan Anger punts 42 yards downed by Luke Gifford,Bryan Anger,42.0,,,,,Luke Gifford,,,,,yards
Kevin Huber punts 40 yards out of bounds,Kevin Huber,40.0,,,,,,,,,out of bounds,yards
Brett Kern punts 52 yards returned by Jaylen Waddle for 15 yards (tackle by Dane Cruikshank),Brett Kern,52.0,Jaylen Waddle,15.0,Dane Cruikshank,,,,,,,yards  yards (
Thomas Morstead punts 40 yards out of bounds,Thomas Morstead,40.0,,,,,,,,,out of bounds,yards
Cameron Johnston punts 44 yards returned by Brandon Aiyuk for 9 yards (tackle by Pharaoh Brown),Cameron Johnston,44.0,Brandon Aiyuk,9.0,Pharaoh Brown,,,,,,,yards  yards (
Michael Palardy punts 36 yards returned by Chester Rogers for 8 yards (tackle by Clayton Fejedelem),Michael Palardy,36.0,Chester Rogers,8.0,Clayton Fejedelem,,,,,,,yards  yards (
Rigoberto Sanchez punts 45 yards returned by Hunter Renfrow for 7 yards (tackle by Ashton Dulin),Rigoberto Sanchez,45.0,Hunter Renfrow,7.0,Ashton Dulin,,,,,,,yards  yards (
Brett Kern punts 42 yards. Christopher Milton fumbles out of bounds,Brett Kern,42.0,,,,,,,,,out of bounds,yards. Christopher Milton fumbles
Kevin Huber punts 51 yards returned by Mecole Hardman for 29 yards (tackle by Stanley Morgan),Kevin Huber,51.0,Mecole Hardman,29.0,Stanley Morgan,,,,,,,yards  yards (
Ty Long punts 25 yards out of bounds,Ty Long,25.0,,,,,,,,,out of bounds,yards
Sam Koch punts 42 yards fair catch by Cooper Kupp at LA-8,Sam Koch,42.0,Cooper Kupp,,,,,,,LA-8,,yards
Riley Dixon punts 46 yards returned by Jakeem Grant for 1 yard (tackle by Julian Love). Penalty on Ryan Nall: Illegal Block Above the Waist 10 yards (accepted),Riley Dixon,46.0,Jakeem Grant,1.0,Julian Love,Ryan Nall,,,,,,yards  yard (.  Illegal Block Above the Waist 10 yards (accepted)
Michael Palardy punts 42 yards returned by Chester Rogers for 11 yards (tackle by Andrew Van Ginkel),Michael Palardy,42.0,Chester Rogers,11.0,Andrew Van Ginkel,,,,,,,yards  yards (
Cameron Johnston punts 39 yards downed by A.J. Moore,Cameron Johnston,39.0,,,,,A.J. Moore,,,,,yards
Jordan Berry punts 45 yards downed by Tye Smith,Jordan Berry,45.0,,,,,Tye Smith,,,,,yards
Rigoberto Sanchez punts 40 yards returned by Hunter Renfrow for 41 yards (tackle by Rigoberto Sanchez),Rigoberto Sanchez,40.0,Hunter Renfrow,41.0,Rigoberto Sanchez,,,,,,,yards  yards (
Sam Martin punts 41 yards fair catch by Andre Roberts at LAC-35,Sam Martin,41.0,Andre Roberts,,,,,,,LAC-35,,yards
Pat O'Donnell punts 42 yards returned by Pharoh Cooper for no gain (tackle by Patrick Scales and Christian Jones). Penalty on Keion Crossen: Offensive Holding 10 yards (accepted),Pat O'Donnell,42.0,Pharoh Cooper,0.0,Patrick Scales and Christian Jones,Keion Crossen,,,,,,yards  (.  Offensive Holding 10 yards (accepted)
Jack Fox punts 38 yards returned by Freddie Swain for 3 yards (tackle by Bobby Price),Jack Fox,38.0,Freddie Swain,3.0,Bobby Price,,,,,,,yards  yards (
Corey Bojorquez punts 24 yards out of bounds,Corey Bojorquez,24.0,,,,,,,,,out of bounds,yards
Ty Long punts 48 yards returned by Diontae Spencer for 4 yards (tackle by Justin Jackson),Ty Long,48.0,Diontae Spencer,4.0,Justin Jackson,,,,,,,yards  yards (
Andy Lee punts 31 yards out of bounds,Andy Lee,31.0,,,,,,,,,out of bounds,yards
Jordan Berry punts 42 yards out of bounds,Jordan Berry,42.0,,,,,,,,,out of bounds,yards
Riley Dixon punts 39 yards downed by Chris Myarick,Riley Dixon,39.0,,,,,Chris Myarick,,,,,yards
Sam Martin punts 56 yards returned by Andre Roberts for 1 yard (tackle by P.J. Locke),Sam Martin,56.0,Andre Roberts,1.0,P.J. Locke,,,,,,,yards  yard (
Mitch Wishnowsky punts 28 yards fair catch by Desmond King at HOU-12,Mitch Wishnowsky,28.0,Desmond King,,,,,,,HOU-12,,yards
Pat O'Donnell punts 42 yards out of bounds,Pat O'Donnell,42.0,,,,,,,,,out of bounds,yards
Blake Gillikin punts 63 yards touchback.,Blake Gillikin,63.0,,,,,,,,,touchback,yards .
Bryan Anger punts 57 yards returned by Christian Kirk for -5 yards (tackle by C.J. Goodwin),Bryan Anger,57.0,Christian Kirk,-5.0,C.J. Goodwin,,,,,,,yards  yards (
