Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Thomas Morstead punts 49 yards returned by Tyler Lockett for 3 yards (tackle by J.T. Gray and Taysom Hill),Thomas Morstead,49.0,Tyler Lockett,3.0,J.T. Gray and Taysom Hill,,,,,,,yards  yards (
Jamie Gillan punts 21 yards out of bounds,Jamie Gillan,21.0,,,,,,,,,out of bounds,yards
Corey Bojorquez punts 36 yards returned by Alex Erickson for 4 yards (tackle by Siran Neal and Maurice Alexander),Corey Bojorquez,36.0,Alex Erickson,4.0,Siran Neal and Maurice Alexander,,,,,,,yards  yards (
Lac Edwards punts 43 yards muffed catch by Gunner Olszewski recovered by Arthur Maulet at NE-0 touchdown,Lac Edwards,43.0,,,,,,,,NE-0 touchdown,,yards muffed catch by Gunner Olszewski recovered by Arthur Maulet
JK Scott punts 61 yards touchback.. Penalty on Josh Jackson: Illegal Formation 5 yards,JK Scott,61.0,,,,Josh Jackson,,,,,touchback,yards ..  Illegal Formation 5 yards
Riley Dixon punts 52 yards returned by Bobo Wilson for 1 yard (tackle by Cody Core and Tae Davis),Riley Dixon,52.0,Bobo Wilson,1.0,Cody Core and Tae Davis,,,,,,,yards  yard (
Matt Haack punts 48 yards fair catch by Cedrick Wilson at DAL-20,Matt Haack,48.0,Cedrick Wilson,,,,,,,DAL-20,,yards
Jordan Berry punts 46 yards returned by Richie James for 5 yards (tackle by Jayrone Elliott),Jordan Berry,46.0,Richie James,5.0,Jayrone Elliott,,,,,,,yards  yards (
Colby Wadman punts 42 yards fair catch by Darrius Shepherd at GB-26,Colby Wadman,42.0,Darrius Shepherd,,,,,,,GB-26,,yards
Cameron Johnston punts 57 yards returned by Jamal Agnew for 24 yards (tackle by Cameron Johnston),Cameron Johnston,57.0,Jamal Agnew,24.0,Cameron Johnston,,,,,,,yards  yards (
Chris Jones punts 48 yards muffed catch by Jakeem Grant,Chris Jones,48.0,,,,,,,,,,yards muffed catch by Jakeem Grant
Penalty on NWE: Delay of Game 5 yards (no play),,,,,,NWE,,,,,,Delay of Game 5 yards (no play)
Sam Martin punts 48 yards touchback.,Sam Martin,48.0,,,,,,,,,touchback,yards .
Ty Long punts 32 yards fair catch by DeAndre Carter at HOU-18,Ty Long,32.0,DeAndre Carter,,,,,,,HOU-18,,yards
Penalty on Brandon Bolden: False Start 5 yards (no play),,,,,,Brandon Bolden,,,,,,False Start 5 yards (no play)
Jake Bailey punts 42 yards fair catch by Braxton Berrios at NYJ-8,Jake Bailey,42.0,Braxton Berrios,,,,,,,NYJ-8,,yards
Bradley Pinion punts 37 yards fair catch by T.J. Jones at NYG-19,Bradley Pinion,37.0,T.J. Jones,,,,,,,NYG-19,,yards
Matt Haack punts 51 yards returned by Cedrick Wilson for 16 yards (tackle by Johnson Bademosi). Penalty on Anthony Brown: Roughing the Kicker 15 yards (no play),Matt Haack,51.0,Cedrick Wilson,16.0,Johnson Bademosi,Anthony Brown,,,,,,yards  yards (.  Roughing the Kicker 15 yards (no play)
Mitch Wishnowsky punts 50 yards returned by Ryan Switzer for no gain (tackle by Emmanuel Moseley). Penalty on Johnny Holton: Offensive Holding 10 yards,Mitch Wishnowsky,50.0,Ryan Switzer,0.0,Emmanuel Moseley,Johnny Holton,,,,,,yards  (.  Offensive Holding 10 yards
Thomas Morstead punts 54 yards returned by Tyler Lockett for 1 yard (tackle by J.T. Gray),Thomas Morstead,54.0,Tyler Lockett,1.0,J.T. Gray,,,,,,,yards  yard (
Riley Dixon punts 49 yards returned by Bobo Wilson for 1 yard (tackle by Michael Thomas),Riley Dixon,49.0,Bobo Wilson,1.0,Michael Thomas,,,,,,,yards  yard (
Corey Bojorquez punts 22 yards fair catch by Alex Erickson at CIN-18,Corey Bojorquez,22.0,Alex Erickson,,,,,,,CIN-18,,yards
Lac Edwards punts 57 yards returned by Gunner Olszewski for 11 yards (tackle by Albert McClellan),Lac Edwards,57.0,Gunner Olszewski,11.0,Albert McClellan,,,,,,,yards  yards (
Matt Haack punts 39 yards out of bounds. Penalty on Byron Jones: Face Mask (15 Yards) 14 yards,Matt Haack,39.0,,,,Byron Jones,,,,,out of bounds,yards .  Face Mask (15 Yards) 14 yards
Andy Lee punts 53 yards returned by Ray-Ray McCloud for no gain (tackle by Andy Lee). Penalty on Ross Cockrell: Offensive Holding (Offsetting),Andy Lee,53.0,Ray-Ray McCloud,0.0,Andy Lee,Ross Cockrell,,,,,,yards  (.  Offensive Holding (Offsetting)
Dustin Colquitt punts 57 yards touchback.,Dustin Colquitt,57.0,,,,,,,,,touchback,yards .
Michael Palardy punts 53 yards returned by Christian Kirk for no gain (tackle by Andre Smith). Penalty on Trent Sherfield: Offensive Holding 10 yards,Michael Palardy,53.0,Christian Kirk,0.0,Andre Smith,Trent Sherfield,,,,,,yards  (.  Offensive Holding 10 yards
Jake Bailey punts 39 yards downed by Jonathan Jones,Jake Bailey,39.0,,,,,Jonathan Jones,,,,,yards
Jamie Gillan punts 51 yards returned by Jojo Natson for no gain (tackle by Tavierre Thomas),Jamie Gillan,51.0,Jojo Natson,0.0,Tavierre Thomas,,,,,,,yards  (
Bryan Anger punts 55 yards returned by Desmond King for -1 yards (tackle by Zach Cunningham),Bryan Anger,55.0,Desmond King,-1.0,Zach Cunningham,,,,,,,yards  yards (
Lac Edwards punts 52 yards downed by Harvey Langi,Lac Edwards,52.0,,,,,Harvey Langi,,,,,yards
Zane Gonzalez punts 44 yards fair catch by Ray-Ray McCloud at CAR-46,Zane Gonzalez,44.0,Ray-Ray McCloud,,,,,,,CAR-46,,yards
Sam Martin punts 40 yards touchback.,Sam Martin,40.0,,,,,,,,,touchback,yards .
Michael Palardy punts 42 yards out of bounds,Michael Palardy,42.0,,,,,,,,,out of bounds,yards
Jake Bailey punts 29 yards out of bounds,Jake Bailey,29.0,,,,,,,,,out of bounds,yards
Riley Dixon punts 49 yards returned by Bobo Wilson for 1 yard (tackle by Cody Core),Riley Dixon,49.0,Bobo Wilson,1.0,Cody Core,,,,,,,yards  yard (
Corey Bojorquez punts 40 yards fair catch by Alex Erickson at CIN-15,Corey Bojorquez,40.0,Alex Erickson,,,,,,,CIN-15,,yards
Bradley Pinion punts 44 yards fair catch by T.J. Jones at NYG-25,Bradley Pinion,44.0,T.J. Jones,,,,,,,NYG-25,,yards
Thomas Morstead punts 58 yards returned by Tyler Lockett for 8 yards (tackle by Dwayne Washington),Thomas Morstead,58.0,Tyler Lockett,8.0,Dwayne Washington,,,,,,,yards  yards (
Zane Gonzalez punts 40 yards downed by Dennis Gardeck,Zane Gonzalez,40.0,,,,,Dennis Gardeck,,,,,yards
Logan Cooke punts 50 yards muffed catch by Adoree' Jackson recovered by Leon Jacobs at TEN-7 (tackle by Jayon Brown). Penalty on Malcolm Butler: Offensive Holding (Declined),Logan Cooke,50.0,,,Jayon Brown,Malcolm Butler,,,,TEN-7 (.  Offensive Holding (Declined),,yards muffed catch by Adoree' Jackson recovered by Leon Jacobs
Brett Kern punts 42 yards returned by Dede Westbrook for 9 yards (tackle by Daren Bates),Brett Kern,42.0,Dede Westbrook,9.0,Daren Bates,,,,,,,yards  yards (
Brett Kern punts 31 yards fair catch by Dede Westbrook at JAC-15,Brett Kern,31.0,Dede Westbrook,,,,,,,JAC-15,,yards
Logan Cooke punts 41 yards fair catch by Adoree' Jackson at TEN-44,Logan Cooke,41.0,Adoree' Jackson,,,,,,,TEN-44,,yards
Brett Kern punts 31 yards fair catch by Dede Westbrook at JAC-15,Brett Kern,31.0,Dede Westbrook,,,,,,,JAC-15,,yards
Logan Cooke punts 30 yards out of bounds. Penalty on Austin Calitro: Offensive Holding 10 yards,Logan Cooke,30.0,,,,Austin Calitro,,,,,out of bounds,yards .  Offensive Holding 10 yards
Brett Kern punts 63 yards touchback.,Brett Kern,63.0,,,,,,,,,touchback,yards .
Logan Cooke punts 55 yards downed by Josh Robinson,Logan Cooke,55.0,,,,,Josh Robinson,,,,,yards
Brett Kern punts 52 yards out of bounds,Brett Kern,52.0,,,,,,,,,out of bounds,yards
Logan Cooke punts 57 yards returned by Adam Humphries for 16 yards (tackle by Austin Calitro). Penalty on David Long: Illegal Block Above the Waist (Offsetting) (no play),Logan Cooke,57.0,Adam Humphries,16.0,Austin Calitro,David Long,,,,,,yards  yards (.  Illegal Block Above the Waist (Offsetting) (no play)
Logan Cooke punts 33 yards out of bounds,Logan Cooke,33.0,,,,,,,,,out of bounds,yards
Brett Kern punts 44 yards fair catch by Dede Westbrook at JAC-10,Brett Kern,44.0,Dede Westbrook,,,,,,,JAC-10,,yards
Brett Kern punts 47 yards touchback.,Brett Kern,47.0,,,,,,,,,touchback,yards .
Logan Cooke punts 43 yards fair catch by Adam Humphries at TEN-34,Logan Cooke,43.0,Adam Humphries,,,,,,,TEN-34,,yards
Brett Kern punts 62 yards returned by Dede Westbrook for 2 yards (tackle by Amani Hooker),Brett Kern,62.0,Dede Westbrook,2.0,Amani Hooker,,,,,,,yards  yards (
Lac Edwards punts 55 yards returned by Jarvis Landry for 16 yards (tackle by Thomas Hennessy),Lac Edwards,55.0,Jarvis Landry,16.0,Thomas Hennessy,,,,,,,yards  yards (
Lac Edwards punts 51 yards returned by Jarvis Landry for 18 yards (tackle by Rontez Miles and Trenton Cannon). Penalty on Chad Thomas: Illegal Block Above the Waist 10 yards,Lac Edwards,51.0,Jarvis Landry,18.0,Rontez Miles and Trenton Cannon,Chad Thomas,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Jamie Gillan punts 37 yards fair catch by Braxton Berrios at NYJ-17. Penalty on Steve McLendon: Offensive Holding 8 yards,Jamie Gillan,37.0,Braxton Berrios,,,,,,,NYJ-17. Penalty on Steve McLendon: Offensive Holding 8 yards,,yards
Lac Edwards punts 52 yards returned by Jarvis Landry for 8 yards (tackle by Thomas Hennessy),Lac Edwards,52.0,Jarvis Landry,8.0,Thomas Hennessy,,,,,,,yards  yards (
Jamie Gillan punts 40 yards fair catch by Braxton Berrios at NYJ-10,Jamie Gillan,40.0,Braxton Berrios,,,,,,,NYJ-10,,yards
Lac Edwards punts 33 yards downed by Rontez Miles,Lac Edwards,33.0,,,,,Rontez Miles,,,,,yards
Lac Edwards punts 49 yards returned by Jarvis Landry for 6 yards (tackle by Neville Hewitt),Lac Edwards,49.0,Jarvis Landry,6.0,Neville Hewitt,,,,,,,yards  yards (
Jamie Gillan punts 36 yards fair catch by Braxton Berrios at NYJ-13,Jamie Gillan,36.0,Braxton Berrios,,,,,,,NYJ-13,,yards
Lac Edwards punts 49 yards out of bounds,Lac Edwards,49.0,,,,,,,,,out of bounds,yards
Jamie Gillan punts 41 yards returned by Braxton Berrios for 5 yards (tackle by KhaDarel Hodge),Jamie Gillan,41.0,Braxton Berrios,5.0,KhaDarel Hodge,,,,,,,yards  yards (
Lac Edwards punts 40 yards downed by Trenton Cannon,Lac Edwards,40.0,,,,,Trenton Cannon,,,,,yards
Jamie Gillan punts 47 yards fair catch by Braxton Berrios at NYJ-12,Jamie Gillan,47.0,Braxton Berrios,,,,,,,NYJ-12,,yards
Jamie Gillan punts 30 yards downed by Tavierre Thomas,Jamie Gillan,30.0,,,,,Tavierre Thomas,,,,,yards
Jordan Berry punts 49 yards returned by Tyler Lockett for 10 yards (tackle by Tyler Matakevich and Ulysees Gilbert),Jordan Berry,49.0,Tyler Lockett,10.0,Tyler Matakevich and Ulysees Gilbert,,,,,,,yards  yards (
Matt Haack punts 38 yards fair catch by Gunner Olszewski at NE-40,Matt Haack,38.0,Gunner Olszewski,,,,,,,NE-40,,yards
Ty Long punts 55 yards returned by Jamal Agnew for 5 yards (tackle by Adrian Phillips and Isaac Rochell),Ty Long,55.0,Jamal Agnew,5.0,Adrian Phillips and Isaac Rochell,,,,,,,yards  yards (
Brett Kern punts 49 yards returned by Chester Rogers for 18 yards (tackle by Christopher Milton). Penalty on Zaire Franklin: Offensive Holding 10 yards,Brett Kern,49.0,Chester Rogers,18.0,Christopher Milton,Zaire Franklin,,,,,,yards  yards (.  Offensive Holding 10 yards
Kevin Huber punts 40 yards,Kevin Huber,40.0,,,,,,,,,,yards
Andy Lee punts 50 yards downed by Charles Washington,Andy Lee,50.0,,,,,Charles Washington,,,,,yards
Logan Cooke punts 44 yards returned by DeAndre Carter for 5 yards (tackle by Andrew Wingard). Penalty on Phillip Gaines: Illegal Block Above the Waist 10 yards,Logan Cooke,44.0,DeAndre Carter,5.0,Andrew Wingard,Phillip Gaines,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Tress Way punts 52 yards returned by Randall Cobb for 4 yards (tackle by Deshazor Everett),Tress Way,52.0,Randall Cobb,4.0,Deshazor Everett,,,,,,,yards  yards (
Sam Martin punts 44 yards out of bounds,Sam Martin,44.0,,,,,,,,,out of bounds,yards
